---------------------------------------------------------------------------------------------------------------------------
Metric                                           |        Count |          Min |          Max |          Avg |        Total
---------------------------------------------------------------------------------------------------------------------------
completionStream                                 |            1 |      202.0ms |      202.0ms |      202.0ms |      202.0ms
completionStream.modelExecutionTime              |            1 |      201.0ms |      201.0ms |      201.0ms |      201.0ms
completionStream.request.stringify               |            1 |          6μs |          6μs |          6μs |          6μs
completionStream.request.totalSerialization      |            1 |        480μs |        480μs |        480μs |        480μs
completionStream.request.zodValidation           |            1 |        474μs |        474μs |        474μs |        474μs
completionStream.server.handlerExecution         |            1 |      202.0ms |      202.0ms |      202.0ms |      202.0ms
completionStream.server.request.jsonParse        |            1 |          0μs |          0μs |          0μs |          0μs
completionStream.server.request.zodValidation    |            1 |          0μs |          0μs |          0μs |          0μs
completionStream.server.response.stringify       |            1 |          0μs |          0μs |          0μs |          0μs
completionStream.server.response.zodValidation   |            1 |        1.0ms |        1.0ms |        1.0ms |        1.0ms
completionStream.server.totalServerTime          |            1 |      203.0ms |      203.0ms |      203.0ms |      203.0ms
completionStream.streamDuration                  |            1 |      101.3ms |      101.3ms |      101.3ms |      101.3ms
completionStream.totalClientTime                 |            1 |      206.2ms |      206.2ms |      206.2ms |      206.2ms
completionStream.ttfb                            |            2 |      102.0ms |      102.8ms |      102.4ms |      204.8ms
getLoadedModelInfo.clientOverhead                |            1 |        2.1ms |        2.1ms |        2.1ms |        2.1ms
getLoadedModelInfo.request.stringify             |            1 |          1μs |          1μs |          1μs |          1μs
getLoadedModelInfo.request.totalSerialization    |            1 |        1.7ms |        1.7ms |        1.7ms |        1.7ms
getLoadedModelInfo.request.zodValidation         |            1 |        1.7ms |        1.7ms |        1.7ms |        1.7ms
getLoadedModelInfo.response.jsonParse            |            1 |          5μs |          5μs |          5μs |          5μs
getLoadedModelInfo.response.totalParsing         |            1 |        287μs |        287μs |        287μs |        287μs
getLoadedModelInfo.response.zodValidation        |            1 |        282μs |        282μs |        282μs |        282μs
getLoadedModelInfo.server.handlerExecution       |            1 |        1.0ms |        1.0ms |        1.0ms |        1.0ms
getLoadedModelInfo.server.request.jsonParse      |            1 |          0μs |          0μs |          0μs |          0μs
getLoadedModelInfo.server.request.zodValidation  |            1 |        1.0ms |        1.0ms |        1.0ms |        1.0ms
getLoadedModelInfo.server.response.stringify     |            1 |          0μs |          0μs |          0μs |          0μs
getLoadedModelInfo.server.response.zodValidation |            1 |          0μs |          0μs |          0μs |          0μs
getLoadedModelInfo.server.totalServerTime        |            1 |        2.0ms |        2.0ms |        2.0ms |        2.0ms
